TimeRemaining,AwayPlay,Score,HomePlay
11:38.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by B. Lopez),2-0, 
11:16.0, ,2-0,I. Hartenstein misses 2-pt layup from 1 ft
11:13.0,Defensive rebound by B. Lopez,2-0, 
11:08.0,B. Lopez misses 3-pt jump shot from 27 ft,2-0, 
11:05.0,Offensive rebound by G. Antetokounmpo,2-0, 
11:00.0,G. Antetokounmpo makes 2-pt jump shot from 9 ft,4-0, 
10:44.0, ,4-2,J. Brunson makes 2-pt layup from 1 ft
10:28.0,K. Middleton makes 2-pt jump shot from 3 ft (assist by D. Lillard),6-2, 
10:13.0, ,6-2,J. Randle misses 3-pt jump shot from 26 ft
10:10.0,Defensive rebound by K. Middleton,6-2, 
10:01.0,M. Beasley misses 3-pt jump shot from 23 ft,6-2, 
9:58.0, ,6-2,Defensive rebound by J. Randle
9:52.0, ,6-2,J. Randle misses 2-pt dunk from 1 ft
9:49.0, ,6-2,Offensive rebound by I. Hartenstein
9:46.0, ,6-5,R. Barrett makes 3-pt jump shot from 25 ft (assist by I. Hartenstein)
9:24.0,Turnover by D. Lillard (lost ball; steal by J. Brunson),6-5, 
9:19.0, ,6-7,R. Barrett makes 2-pt dunk from 1 ft (assist by D. DiVincenzo)
9:01.0,K. Middleton makes 2-pt jump shot from 8 ft (assist by D. Lillard),8-7, 
8:42.0, ,8-9,J. Brunson makes 2-pt jump shot from 12 ft
8:25.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),11-9, 
8:10.0, ,11-11,J. Brunson makes 2-pt jump shot from 16 ft
7:59.0,D. Lillard misses 2-pt layup from 1 ft (block by I. Hartenstein),11-11, 
7:55.0, ,11-11,Defensive rebound by I. Hartenstein
7:53.0, ,11-11,R. Barrett misses 3-pt jump shot from 25 ft
7:52.0, ,11-11,Offensive rebound by Team
7:52.0,Loose ball foul by G. Antetokounmpo (drawn by J. Randle),11-11, 
7:48.0, ,11-11,J. Brunson misses 2-pt jump shot from 16 ft
7:45.0,Defensive rebound by G. Antetokounmpo,11-11, 
7:37.0,G. Antetokounmpo makes 2-pt layup at rim,13-11, 
7:16.0, ,13-14,R. Barrett makes 3-pt jump shot from 25 ft (assist by J. Brunson)
6:58.0,M. Beasley misses 2-pt jump shot from 14 ft,13-14, 
6:53.0, ,13-14,Defensive rebound by R. Barrett
6:46.0, ,13-14,Turnover by J. Randle (lost ball; steal by B. Lopez)
6:42.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),16-14, 
6:21.0, ,16-14,J. Brunson misses 3-pt jump shot from 29 ft
6:18.0,Defensive rebound by K. Middleton,16-14, 
6:13.0,Turnover by K. Middleton (lost ball; steal by R. Barrett),16-14, 
6:08.0, ,16-14,D. DiVincenzo misses 3-pt jump shot from 25 ft
6:05.0, ,16-14,Offensive rebound by R. Barrett
6:05.0, ,16-16,R. Barrett makes 2-pt layup at rim
6:05.0,Milwaukee full timeout,16-16, 
6:05.0,P. Connaughton enters the game for G. Antetokounmpo,16-16, 
6:05.0,B. Portis enters the game for K. Middleton,16-16, 
6:05.0, ,16-16,J. Hart enters the game for J. Randle
5:54.0,D. Lillard misses 3-pt jump shot from 26 ft,16-16, 
5:48.0, ,16-16,Defensive rebound by J. Hart
