TimeRemaining,AwayPlay,Score,HomePlay
11:35.0, ,0-0,G. Allen misses 3-pt jump shot from 23 ft
11:31.0,Defensive rebound by L. Dončić,0-0, 
11:19.0,D. Lively makes 2-pt dunk from 1 ft (assist by L. Dončić),2-0, 
10:59.0, ,2-0,E. Gordon misses 3-pt jump shot from 25 ft
10:57.0,Defensive rebound by L. Dončić,2-0, 
10:48.0,L. Dončić misses 3-pt jump shot from 27 ft,2-0, 
10:44.0, ,2-0,Defensive rebound by K. Durant
10:26.0, ,2-0,K. Durant misses 2-pt layup from 3 ft
10:23.0,Defensive rebound by D. Jones,2-0, 
10:20.0,Shooting foul by E. Gordon (drawn by D. Jones),2-0, 
10:20.0,D. Jones misses free throw 1 of 2,2-0, 
10:20.0,Offensive rebound by Team,2-0, 
10:20.0,D. Jones makes free throw 2 of 2,3-0, 
10:09.0, ,3-0,D. Eubanks misses 2-pt dunk from 3 ft
10:07.0,Defensive rebound by D. Lively,3-0, 
9:56.0,D. Lively makes 2-pt hook shot from 6 ft (assist by L. Dončić),5-0, 
9:48.0, ,5-0,G. Allen misses 3-pt jump shot from 23 ft
9:46.0,Defensive rebound by D. Exum,5-0, 
9:43.0,T. Hardaway misses 3-pt jump shot from 26 ft,5-0, 
9:38.0, ,5-0,Defensive rebound by K. Durant
9:31.0, ,5-3,K. Durant makes 3-pt jump shot from 26 ft (assist by D. Booker)
9:19.0,Turnover by L. Dončić (bad pass),5-3, 
9:11.0, ,5-3,Personal foul by D. Jones (drawn by K. Durant)
9:07.0, ,5-3,G. Allen misses 3-pt jump shot from 23 ft
9:03.0,Defensive rebound by D. Exum,5-3, 
8:51.0,Shooting foul by D. Booker (drawn by D. Lively),5-3, 
8:51.0,D. Lively misses free throw 1 of 2,5-3, 
8:51.0,Offensive rebound by Team,5-3, 
8:51.0,D. Lively makes free throw 2 of 2,6-3, 
8:41.0, ,6-5,K. Durant makes 2-pt jump shot from 14 ft
8:29.0,L. Dončić makes 2-pt layup from 1 ft,8-5, 
8:19.0, ,8-7,D. Booker makes 2-pt jump shot from 16 ft
8:06.0,L. Dončić makes 2-pt jump shot from 14 ft (assist by T. Hardaway),10-7, 
7:51.0, ,10-7,Turnover by K. Durant (bad pass)
7:51.0,G. Williams enters the game for D. Lively,10-7, 
7:35.0,Shooting foul by D. Eubanks (drawn by L. Dončić),10-7, 
7:35.0,L. Dončić makes free throw 1 of 2,11-7, 
7:35.0,L. Dončić makes free throw 2 of 2,12-7, 
7:13.0, ,12-7,G. Allen misses 2-pt jump shot from 8 ft
7:12.0, ,12-7,Offensive rebound by G. Allen
7:09.0, ,12-9,D. Eubanks makes 2-pt layup from 1 ft (assist by G. Allen)
6:57.0,G. Williams misses 3-pt jump shot from 25 ft,12-9, 
6:53.0, ,12-9,Defensive rebound by E. Gordon
6:49.0, ,12-11,E. Gordon makes 2-pt layup from 1 ft
6:42.0,Shooting foul by E. Gordon (drawn by T. Hardaway),12-11, 
6:42.0, ,12-11,Phoenix full timeout
6:42.0, ,12-11,Instant Replay (Request: Stands)
6:42.0,T. Hardaway makes free throw 1 of 3,13-11, 
6:42.0,T. Hardaway makes free throw 2 of 3,14-11, 
6:42.0, ,14-11,J. Okogie enters the game for E. Gordon
6:42.0,T. Hardaway makes free throw 3 of 3,15-11, 
6:17.0, ,15-11,J. Okogie misses 2-pt jump shot from 19 ft
6:16.0, ,15-11,Offensive rebound by Team
6:16.0, ,15-11,Turnover by Team (shot clock)
6:01.0,Turnover by G. Williams (bad pass),15-11, 
5:45.0, ,15-11,D. Booker misses 2-pt layup from 3 ft (block by G. Williams)
5:43.0,Defensive rebound by T. Hardaway,15-11, 
5:39.0,Turnover by T. Hardaway (lost ball; steal by J. Okogie),15-11, 
5:35.0, ,15-11,Turnover by K. Durant (bad pass; steal by L. Dončić)
5:29.0,L. Dončić makes 3-pt jump shot from 29 ft (assist by D. Exum),18-11, 
5:19.0, ,18-11,Personal foul by G. Williams (drawn by D. Booker)
5:19.0,J. Hardy enters the game for T. Hardaway,18-11, 
5:07.0, ,18-11,D. Booker misses 2-pt jump shot from 17 ft
5:05.0,Defensive rebound by L. Dončić,18-11, 
4:57.0,D. Jones misses 2-pt layup from 2 ft (block by D. Booker),18-11, 
4:54.0,Offensive rebound by D. Jones,18-11, 
4:52.0,L. Dončić makes 3-pt jump shot from 34 ft (assist by G. Williams),21-11, 
4:52.0, ,21-11,Phoenix full timeout
4:52.0, ,21-11,C. Metu enters the game for D. Eubanks
4:32.0, ,21-11,Turnover by K. Durant (bad pass; steal by D. Exum)
4:28.0,D. Jones makes 2-pt dunk from 1 ft (assist by D. Exum),23-11, 
4:17.0, ,23-13,C. Metu makes 2-pt dunk from 1 ft (assist by K. Durant)
4:03.0,J. Hardy misses 3-pt jump shot from 24 ft,23-13, 
4:01.0, ,23-13,Defensive rebound by C. Metu
3:51.0, ,23-13,D. Booker misses 2-pt jump shot from 18 ft
3:47.0, ,23-13,Offensive rebound by C. Metu
3:46.0, ,23-16,G. Allen makes 3-pt jump shot from 26 ft (assist by C. Metu)
3:28.0,D. Exum makes 2-pt dunk at rim (assist by L. Dončić),25-16, 
3:09.0, ,25-16,J. Okogie misses 3-pt jump shot from 25 ft
3:05.0,Defensive rebound by J. Hardy,25-16, 
2:52.0,D. Exum misses 3-pt jump shot from 23 ft,25-16, 
2:49.0, ,25-16,Defensive rebound by C. Metu
2:46.0, ,25-19,G. Allen makes 3-pt jump shot from 27 ft
2:44.0,Dallas full timeout,25-19, 
2:44.0,A. Lawson enters the game for D. Exum,25-19, 
2:44.0,D. Lively enters the game for D. Jones,25-19, 
